id,plane_manufacturer_id,plane_model_family_id,name,range,max_pas,avg_speed,fuel_use,cost,maintanence,pilots,hosts,size ,counter
1,1,1,A318,5750,136,828,4.22,77400000,7740,2,3,1,0
2,1,1,A319,6950,160,828,3.49,92300000,9230,2,4,1,0
3,1,1,A320,6100,190,828,3.98,101000000,10100,2,4,1,0
4,1,1,A321,5950,230,828,4.08,118300000,11830,2,5,1,0
5,1,2,A330-200,13450,406,871,10.34,238500000,23850,2,8,2,0
6,1,2,A330-300,11750,440,871,11.83,264200000,26420,2,8,2,0
7,1,3,A350-900,15000,411,903,9.38,317400000,31740,2,8,2,0
8,1,3,A350-1000,15600,477,903,10.17,366500000,36650,2,8,2,0
9,1,4,A380-800,14800,853,903,17.16,445600000,44560,2,14,3,0
10,2,5,737-700,5570,148,834,4.67,85800000,8580,2,3,1,0
11,2,5,737-800,5436,184,842,4.78,102200000,10220,2,4,1,0
12,2,5,737-900ER,5460,195,844,5.43,108400000,10840,2,4,1,0
13,2,6,747-8,15000,595,914,15.9,403600000,40360,2,12,3,0
14,2,7,777-200ER,13080,435,892,13.08,295200000,29520,2,8,2,0
15,2,7,777-200LR,15843,435,892,11.44,334000000,33400,2,8,2,0
16,2,7,777-300ER,13649,545,892,13.28,361500000,36150,2,10,2,0
17,2,8,787-8,13620,359,903,9.26,239000000,23900,2,6,2,0
18,2,8,787-9,14140,406,903,8.93,281600000,28160,2,8,2,0
19,2,8,787-10,11910,440,903,10.61,325800000,32580,2,8,2,0
